/M2/D X,/M2/D Y
0,4.754971573714863e-12
1.552202107467709e-11,9.365169276306698e-12
2.208260158188514e-11,8.992979289758931e-12
3.520376259630123e-11,7.85197058449408e-12
4.048086581141847e-11,7.230808546398504e-12
4.849675116819842e-11,6.327337410074819e-12
5.388081953697257e-11,5.801852455315911e-12
6.014902600618112e-11,4.198563176026835e-12
6.532055196137533e-11,3.812811811453893e-12
7.190235146526084e-11,3.411370043690513e-12
7.914862055929774e-11,3.298397644210135e-12
8.789958987128132e-11,3.299142794779512e-12
1.007371958960563e-10,3.391588946098947e-12
1.150392570836574e-10,3.51160915536451e-12
1.265145721883718e-10,3.608178580604222e-12
1.411277998383493e-10,3.716019616013257e-12
1.526003850131413e-10,3.800175927535451e-12
1.634664844109759e-10,3.875200633697066e-12
1.753564346611029e-10,3.945763259042147e-12
1.915810041191521e-10,4.036078436493016e-12
2.014512689541768e-10,4.086453773265763e-12
2.109567033864547e-10,4.132543509185007e-12
2.160386627692945e-10,4.156250273887243e-12
2.229960689164367e-10,4.187593837798737e-12
2.301169490240694e-10,4.218416758022062e-12
2.391010136582485e-10,4.25557441372415e-12
2.462713046091363e-10,4.283901682772513e-12
2.554660387233044e-10,4.318580664494745e-12
2.662278291723712e-10,4.356567760445215e-12
2.794288717798082e-10,4.399498916371455e-12
3.042157221826728e-10,4.470430046227472e-12
3.36750562337454e-10,4.546634892395725e-12
3.734095299044267e-10,4.61480058834622e-12
4.184375521682042e-10,4.676513197113503e-12
4.505870538859588e-10,4.709900453348595e-12
4.978848198686712e-10,4.745466853193271e-12
5.193956272723389e-10,4.757770727322681e-12
5.505550989122795e-10,4.771577606533565e-12
5.634838596106186e-10,4.776296611225728e-12
5.846753202490819e-10,4.782946386319693e-12
5.996443200689188e-10,4.78705794828932e-12
6.16368666337781e-10,4.790890709793297e-12
6.362194752949595e-10,4.794245561203864e-12
6.594511660277606e-10,4.796945500324563e-12
6.764217598678724e-10,4.79820255820964e-12
6.92485159153674e-10,4.798818743208459e-12
7.184915752638041e-10,4.799013414571991e-12
7.416764571982905e-10,4.798304584819679e-12
7.645847601998436e-10,4.797519763049e-12
7.948443325574084e-10,4.795975963956755e-12
8.318829660013533e-10,4.794758046845809e-12
8.788658657974778e-10,4.794468427215307e-12
9.381223730492538e-10,4.793417096690432e-12
9.920006548456849e-10,4.79257585427508e-12
1.044770052269547e-09,4.790520829127842e-12
1.115126088550204e-09,4.785542699812182e-12
1.206729830505127e-09,4.779196659580786e-12
1.315147908433964e-09,4.772502892504117e-12
1.416906686767014e-09,4.767879929732071e-12
1.534774850781441e-09,4.764206413453881e-12
1.669726310536463e-09,4.761206313335326e-12
1.829278837140357e-09,4.759061678801041e-12
2.050804910132714e-09,4.757234773392788e-12
2.328853125437092e-09,4.75611250824563e-12
2.801907490639971e-09,4.755092257916352e-12
3.488225664493108e-09,4.754871708572395e-12
4.860862012199382e-09,4.754857031232321e-12
6.882743025064042e-09,4.754853028906638e-12
9.591171885230604e-09,4.754882230160636e-12
1.333234723261922e-08,4.754954612200716e-12
1.843849944274275e-08,4.754774239249765e-12
2.660620406191122e-08,4.755178448277847e-12
3.928082600371408e-08,4.754807994568485e-12
6.46300698873198e-08,4.755086979631164e-12
1.153285576545312e-07,4.754881357978675e-12
2.167255331889541e-07,4.754865039756992e-12
4.195194842577998e-07,4.754891667833618e-12
8.251073863954914e-07,4.754864553861331e-12
1.636283190670874e-06,4.754891934420957e-12
3.25863479922164e-06,4.754864551896454e-12
6.503338016323172e-06,4.75489193547089e-12
1.000000000000003e-05,4.754864551929444e-12
1.040934461962046e-05,4.754891935472565e-12
1.115468621715678e-05,4.754864551969823e-12
1.181644092048774e-05,4.75489193564223e-12
1.313995032714968e-05,4.754864552325381e-12
1.380170503048065e-05,4.754891935845855e-12
1.512521443714259e-05,4.754864553426941e-12
1.531909002153492e-05,4.754891937040918e-12
1.541602781373109e-05,4.754864554957758e-12
1.545474464861489e-05,4.754891937305228e-12
